OTU_19	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Massarinaceae;g__Massarina
OTU_1665	k__Fungi;p__Basidiomycota
OTU_1663	k__Fungi;p__Ascomycota
OTU_1672	k__Fungi
OTU_1669	k__Fungi
OTU_1655	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus
OTU_1666	k__Fungi
OTU_1652	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales
OTU_1670	k__Fungi
OTU_1675	k__Fungi
OTU_1677	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_1687	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Xenoacremonium;s__Xenoacremonium_falcatum_SH631030.07FU
OTU_1688	k__Fungi;p__Ascomycota
OTU_1658	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_1685	k__Fungi
OTU_1656	k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales
OTU_1691	k__Fungi;p__Ascomycota
OTU_1680	k__Fungi;p__Ascomycota
OTU_1695	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Boletaceae;g__Aureoboletus;s__Aureoboletus_moravicus_SH209920.07FU
OTU_1668	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Amphobotrys;s__Amphobotrys_ricini_SH211716.07FU
OTU_1681	k__Fungi
OTU_1702	k__Fungi
OTU_1674	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiales;f__Cystobasidiales_fam_Incertae_sedis;g__Occultifur
OTU_1698	k__Fungi
OTU_1678	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales
OTU_1699	k__Fungi
OTU_1704	k__Fungi;p__Ascomycota
OTU_1703	k__Fungi
OTU_1676	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Phanerochaetaceae;g__Phanerochaete
OTU_1671	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales
OTU_1712	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Xenoacremonium;s__Xenoacremonium_falcatum_SH631030.07FU
OTU_1689	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Peziza;s__Peziza_nivalis_SH210381.07FU
OTU_1690	k__Fungi
OTU_1697	k__Fungi
OTU_1708	k__Fungi;p__Ascomycota
OTU_1706	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_1679	k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Wallemiales;f__Wallemiales_fam_Incertae_sedis;g__Wallemia;s__Wallemia_muriae_SH216459.07FU
OTU_1707	k__Fungi;p__Ascomycota
OTU_1686	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Edenia;s__Edenia_gomezpompae_SH188231.07FU
OTU_1705	k__Fungi
OTU_1700	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella
OTU_1684	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Gigasporales;f__Gigasporaceae
OTU_1717	k__Fungi
OTU_1714	k__Fungi
OTU_1720	k__Fungi
OTU_1727	k__Fungi;p__Ascomycota
OTU_1722	k__Fungi
OTU_1730	k__Fungi
OTU_1711	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Myrothecium
OTU_1737	k__Fungi;p__Ascomycota
OTU_1728	k__Fungi
OTU_1734	k__Fungi;p__Ascomycota
OTU_1746	k__Fungi;p__Ascomycota;c__Xylonomycetes;o__Xylonomycetales;f__Xylonomycetales_fam_Incertae_sedis;g__Symbiotaphrina;s__Symbiotaphrina_kochii_SH021199.07FU
OTU_1738	k__Fungi
OTU_1701	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Gigasporales;f__Gigasporaceae;g__Racocetra
OTU_1739	k__Fungi
OTU_1736	k__Fungi
OTU_1726	k__Fungi
OTU_1713	k__Fungi
OTU_1733	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Peziza
OTU_1740	k__Fungi
OTU_1741	k__Fungi
OTU_1749	k__Fungi;p__Ascomycota
OTU_1745	k__Fungi
OTU_1724	k__Fungi;p__Rozellomycota
OTU_1718	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Cryptococcus
OTU_1750	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_1723	k__Fungi
OTU_1748	k__Fungi;p__Ascomycota
OTU_1754	k__Fungi;p__Ascomycota
OTU_1731	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Curvularia;s__Curvularia_trifolii_SH187572.07FU
OTU_1752	k__Fungi
OTU_1732	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales
OTU_1755	k__Fungi
OTU_1761	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_1756	k__Fungi
OTU_1773	k__Fungi
OTU_1759	k__Fungi
OTU_1766	k__Fungi;p__Ascomycota
OTU_1744	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_1770	k__Fungi;p__Ascomycota
OTU_1778	k__Fungi;p__Basidiomycota
OTU_1762	k__Fungi
OTU_1760	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_1747	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales
OTU_1776	k__Fungi
OTU_1743	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae
OTU_1782	k__Fungi;p__Ascomycota
OTU_1787	k__Fungi
OTU_1783	k__Fungi;p__Ascomycota
OTU_1785	k__Fungi
OTU_1751	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae
OTU_1753	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_1757	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Lectera;s__Lectera_colletotrichoides_SH174361.07FU
OTU_1767	k__Fungi
OTU_1789	k__Fungi
OTU_1769	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lycoperdaceae
OTU_1772	k__Fungi
OTU_1771	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_1792	k__Fungi;p__Ascomycota
OTU_1779	k__Fungi
OTU_1774	k__Fungi;p__Ascomycota
OTU_1794	k__Fungi
OTU_1799	k__Fungi
OTU_1796	k__Fungi
OTU_1800	k__Fungi
OTU_1790	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Branch06
OTU_1806	k__Fungi;p__Ascomycota
OTU_1807	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_1802	k__Fungi
OTU_1804	k__Fungi;p__Ascomycota
OTU_1803	k__Fungi
OTU_1810	k__Fungi
OTU_1808	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_1813	k__Fungi;p__Ascomycota
OTU_1786	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodosporidiobolus
OTU_1793	k__Fungi
OTU_1812	k__Fungi;p__Ascomycota
OTU_1815	k__Fungi;p__Ascomycota
OTU_1826	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Xenoacremonium;s__Xenoacremonium_falcatum_SH631030.07FU
OTU_1816	k__Fungi
OTU_1821	k__Fungi
OTU_1798	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_1817	k__Fungi;p__Ascomycota
OTU_1801	k__Fungi;p__Chytridiomycota
OTU_1819	k__Fungi;p__Ascomycota
OTU_1814	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_1820	k__Fungi;p__Ascomycota
OTU_1836	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Paurocotylis
OTU_1834	k__Fungi;p__Ascomycota
OTU_1822	k__Fungi
OTU_1830	k__Fungi
OTU_1823	k__Fungi
OTU_1811	k__Fungi;p__Rozellomycota
OTU_1835	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_1831	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_1832	k__Fungi;p__Basidiomycota
OTU_1843	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Pyrenulales;f__Pyrenulaceae;g__Pyrenula;s__Pyrenula_nitida_SH024408.07FU
OTU_1841	k__Fungi
OTU_1847	k__Fungi;p__Ascomycota
OTU_1846	k__Fungi
OTU_1857	k__Fungi;p__Ascomycota
OTU_1842	k__Fungi
OTU_1849	k__Fungi
OTU_1838	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae
OTU_1845	k__Fungi;p__Ascomycota
OTU_1869	k__Fungi
OTU_1856	k__Fungi
OTU_1854	k__Fungi;p__Basidiomycota
OTU_1837	k__Fungi
OTU_1861	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Stephanosporaceae;g__Stephanospora;s__Stephanospora_poropingao_SH528211.07FU
OTU_1840	k__Fungi;p__Rozellomycota
OTU_1859	k__Fungi;p__Ascomycota
OTU_1874	k__Fungi
OTU_1865	k__Fungi
OTU_1844	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Peziza
OTU_1864	k__Fungi;p__Ascomycota
OTU_1873	k__Fungi;p__Ascomycota
OTU_1872	k__Fungi
OTU_1875	k__Fungi
OTU_1839	k__Fungi;p__Ascomycota
OTU_1876	k__Fungi
OTU_1877	k__Fungi;p__Basidiomycota
OTU_1858	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Choanephoraceae;g__Poitrasia;s__Poitrasia_circinans_SH190296.07FU
OTU_1863	k__Fungi
OTU_1884	k__Fungi;p__Ascomycota
OTU_1886	k__Fungi
OTU_1888	k__Fungi
OTU_1879	k__Fungi;p__Basidiomycota
OTU_1853	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Tetraplosphaeriaceae
OTU_1852	k__Fungi
OTU_1868	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae
OTU_1887	k__Fungi
OTU_1899	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_1889	k__Fungi;p__Ascomycota
OTU_1867	k__Fungi
OTU_1893	k__Fungi;p__Ascomycota
OTU_1894	k__Fungi
OTU_1898	k__Fungi
OTU_1895	k__Fungi
OTU_1897	k__Fungi
OTU_1892	k__Fungi
OTU_1862	k__Fungi;p__Ascomycota
OTU_1903	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae
OTU_1901	k__Fungi
OTU_1880	k__Fungi
OTU_1904	k__Fungi;p__Ascomycota
OTU_1914	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Capronia;s__Capronia_fungicola_SH015749.07FU
OTU_1906	k__Fungi
OTU_1907	k__Fungi
OTU_1911	k__Fungi;p__Ascomycota
OTU_1910	k__Fungi;p__Ascomycota
OTU_1916	k__Fungi
OTU_1900	k__Fungi
OTU_1890	k__Fungi;p__Ascomycota
OTU_1912	k__Fungi;p__Ascomycota
OTU_1881	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Pseudocercospora;s__Pseudocercospora_neriicola_SH406232.07FU
OTU_1922	k__Fungi
OTU_1919	k__Fungi
OTU_1902	k__Fungi
OTU_1918	k__Fungi;p__Ascomycota
OTU_1920	k__Fungi
OTU_1908	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Peziza
OTU_1929	k__Fungi;p__Ascomycota
OTU_1926	k__Fungi;p__Ascomycota
OTU_1924	k__Fungi
OTU_1928	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_1932	k__Fungi
OTU_1935	k__Fungi
OTU_1915	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae
OTU_1936	k__Fungi
OTU_1939	k__Fungi;p__Ascomycota
OTU_1934	k__Fungi;p__Chytridiomycota
OTU_1930	k__Fungi;p__Kickxellomycota;c__Kickxellomycetes;o__Kickxellales;f__Kickxellaceae;g__Ramicandelaber
OTU_1942	k__Fungi
OTU_1952	k__Fungi;p__Ascomycota
OTU_1950	k__Fungi;p__Ascomycota
OTU_1943	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Peziza
OTU_1957	k__Fungi
OTU_1917	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Trichocladium;s__Trichocladium_pyriforme_SH001978.07FU
OTU_1925	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Sympoventuriaceae;g__Scolecobasidium
OTU_1954	k__Fungi
OTU_1940	k__Fungi;p__Ascomycota
OTU_1921	k__Fungi
OTU_1961	k__Fungi
OTU_1947	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Cladorrhinum;s__Cladorrhinum_bulbillosum_SH207742.07FU
OTU_1958	k__Fungi
OTU_1971	k__Fungi
OTU_1965	k__Fungi
OTU_1966	k__Fungi
OTU_1946	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae;g__Gongronella
OTU_1963	k__Fungi
OTU_1969	k__Fungi
OTU_1968	k__Fungi
OTU_1955	k__Fungi
OTU_1972	k__Fungi
OTU_1956	k__Fungi
OTU_1953	k__Fungi
OTU_1960	k__Fungi;p__Chytridiomycota
OTU_1977	k__Fungi
OTU_1978	k__Fungi
OTU_1944	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales
OTU_1962	k__Fungi
OTU_1983	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_1979	k__Fungi
OTU_1981	k__Fungi
OTU_1989	k__Fungi;p__Ascomycota;c__Xylonomycetes;o__Xylonomycetales;f__Xylonomycetales_fam_Incertae_sedis;g__Symbiotaphrina;s__Symbiotaphrina_buchneri_SH643910.07FU
OTU_1987	k__Fungi
OTU_1980	k__Fungi;p__Ascomycota
OTU_1986	k__Fungi;p__Ascomycota
OTU_1988	k__Fungi;p__Ascomycota
OTU_1967	k__Fungi
OTU_1985	k__Fungi
OTU_1976	k__Fungi
OTU_1964	k__Fungi
OTU_1994	k__Fungi;p__Ascomycota
OTU_1992	k__Fungi;p__Ascomycota
OTU_1974	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_2000	k__Fungi
OTU_1995	k__Fungi;p__Ascomycota
OTU_1999	k__Fungi
OTU_1997	k__Fungi;p__Ascomycota
OTU_1991	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
OTU_2002	k__Fungi;p__Ascomycota
OTU_1996	k__Fungi
OTU_1984	k__Fungi
OTU_1993	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula;s__Rhodotorula_paludigena_SH216365.07FU
OTU_2007	k__Fungi
OTU_2008	k__Fungi
OTU_2010	k__Fungi;p__Ascomycota
OTU_2011	k__Fungi;p__Ascomycota
OTU_2022	k__Fungi;p__Ascomycota
OTU_2016	k__Fungi;p__Ascomycota
OTU_2029	k__Fungi
OTU_2004	k__Fungi
OTU_2017	k__Fungi;p__Ascomycota
OTU_2018	k__Fungi
OTU_2013	k__Fungi
OTU_2027	k__Fungi
OTU_2025	k__Fungi
OTU_2024	k__Fungi;p__Ascomycota
OTU_2012	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus
OTU_2021	k__Fungi
OTU_2003	k__Fungi
OTU_2005	k__Fungi;p__Ascomycota
OTU_2009	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae
OTU_2014	k__Fungi
OTU_2033	k__Fungi;p__Ascomycota
OTU_2020	k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;g__Moesziomyces;s__Moesziomyces_bullatus_SH005665.07FU
OTU_2048	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lyophyllaceae;g__Termitomyces
OTU_2038	k__Fungi
OTU_2049	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Cephalothecaceae;g__Cephalotheca;s__Cephalotheca_purpurea_SH022769.07FU
OTU_2044	k__Fungi
OTU_2032	k__Fungi
OTU_2035	k__Fungi
OTU_2054	k__Fungi
OTU_2043	k__Fungi;p__Ascomycota
OTU_2061	k__Fungi;p__Ascomycota;c__Xylonomycetes;o__Xylonomycetales;f__Xylonomycetales_fam_Incertae_sedis;g__Symbiotaphrina;s__Symbiotaphrina_buchneri_SH643910.07FU
OTU_2051	k__Fungi
OTU_2031	k__Fungi
OTU_2069	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita
OTU_2037	k__Fungi
OTU_2060	k__Fungi
OTU_2065	k__Fungi
OTU_2063	k__Fungi
OTU_2062	k__Fungi;p__Ascomycota
OTU_2047	k__Fungi;p__Ascomycota
OTU_2070	k__Fungi;p__Ascomycota
OTU_2076	k__Fungi;p__Ascomycota;c__Arthoniomycetes
OTU_2067	k__Fungi;p__Ascomycota
OTU_2045	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
OTU_2068	k__Fungi;p__Ascomycota
OTU_2075	k__Fungi;p__Ascomycota
OTU_2073	k__Fungi;p__Ascomycota
OTU_2071	k__Fungi
OTU_2042	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces
OTU_2034	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Cryptococcus
OTU_2077	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales
OTU_2078	k__Fungi;p__Ascomycota
OTU_2056	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_2081	k__Fungi;p__Ascomycota
OTU_2084	k__Fungi
OTU_2083	k__Fungi;p__Ascomycota
OTU_2090	k__Fungi
OTU_2080	k__Fungi
OTU_2066	k__Fungi;p__Basidiomycota;c__Microbotryomycetes
OTU_2092	k__Fungi
OTU_2093	k__Fungi
OTU_2096	k__Fungi
OTU_2091	k__Fungi;p__Ascomycota
OTU_2089	k__Fungi
OTU_2097	k__Fungi
OTU_2094	k__Fungi;p__Ascomycota
OTU_2100	k__Fungi
OTU_2104	k__Fungi;p__Ascomycota
OTU_2074	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Macrophomina;s__Macrophomina_phaseolina_SH182425.07FU
OTU_2102	k__Fungi
OTU_2098	k__Fungi
OTU_2079	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Phanerochaetaceae;g__Phanerochaete
OTU_2111	k__Fungi;p__Ascomycota
OTU_2105	k__Fungi
OTU_2110	k__Fungi
OTU_2088	k__Fungi
OTU_2086	k__Fungi
OTU_2085	k__Fungi
OTU_2113	k__Fungi;p__Ascomycota
OTU_2118	k__Fungi
OTU_2115	k__Fungi
OTU_2087	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales
OTU_2114	k__Fungi;p__Ascomycota
OTU_2124	k__Fungi
OTU_2119	k__Fungi;p__Ascomycota
OTU_2123	k__Fungi;p__Ascomycota
OTU_2127	k__Fungi;p__Ascomycota
OTU_2095	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Chaetospermum;s__Chaetospermum_chaetosporum_SH206084.07FU
OTU_2140	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Cephalothecaceae;g__Cephalotheca;s__Cephalotheca_purpurea_SH022769.07FU
OTU_2132	k__Fungi
OTU_2129	k__Fungi
OTU_2109	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiotremataceae;g__Lophiotrema
OTU_2128	k__Fungi
OTU_2134	k__Fungi
OTU_2135	k__Fungi
OTU_2131	k__Fungi
OTU_2130	k__Fungi
OTU_2107	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
OTU_2099	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales
OTU_2137	k__Fungi
OTU_2141	k__Fungi
OTU_2138	k__Fungi
OTU_2142	k__Fungi;p__Ascomycota
OTU_2144	k__Fungi
OTU_2147	k__Fungi;p__Ascomycota
OTU_2117	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_2145	k__Fungi
OTU_2121	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales
OTU_2116	k__Fungi
OTU_2149	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_2157	k__Fungi;p__Ascomycota
OTU_2152	k__Fungi
OTU_2158	k__Fungi
OTU_2164	k__Fungi;p__Ascomycota
OTU_2160	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales
OTU_2167	k__Fungi;p__Ascomycota
OTU_2136	k__Fungi
OTU_2166	k__Fungi
OTU_2161	k__Fungi
OTU_2173	k__Fungi
OTU_2155	k__Fungi
OTU_2168	k__Fungi
OTU_2154	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_2171	k__Fungi
OTU_2179	k__Fungi
OTU_2178	k__Fungi;p__Basidiomycota
OTU_2170	k__Fungi
OTU_2182	k__Fungi
OTU_2185	k__Fungi
OTU_2190	k__Fungi;p__Ascomycota
OTU_2183	k__Fungi
OTU_2180	k__Fungi;p__Ascomycota
OTU_2150	k__Fungi
OTU_2162	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_2197	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Xenoacremonium;s__Xenoacremonium_falcatum_SH631030.07FU
OTU_2163	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae
OTU_2187	k__Fungi
OTU_2165	k__Fungi
OTU_2194	k__Fungi;p__Ascomycota
OTU_2176	k__Fungi
OTU_2193	k__Fungi;p__Ascomycota
OTU_2192	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Tuberaceae;g__Tuber;s__Tuber_zhongdianense_SH525326.07FU
OTU_2186	k__Fungi
OTU_2181	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Myrothecium
OTU_2177	k__Fungi;p__Ascomycota
OTU_2199	k__Fungi;p__Ascomycota
OTU_2174	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Tetraplosphaeriaceae;g__Tetraplosphaeria;s__Tetraplosphaeria_yakushimensis_SH028443.07FU
OTU_2195	k__Fungi
OTU_2200	k__Fungi
OTU_2223	k__Fungi;p__Ascomycota;c__Xylonomycetes;o__Xylonomycetales;f__Xylonomycetales_fam_Incertae_sedis;g__Symbiotaphrina;s__Symbiotaphrina_kochii_SH021199.07FU
OTU_2203	k__Fungi;p__Ascomycota
OTU_2208	k__Fungi;p__Basidiomycota
OTU_2218	k__Fungi
OTU_2215	k__Fungi
OTU_2216	k__Fungi;p__Ascomycota
OTU_2217	k__Fungi;p__Ascomycota
OTU_2220	k__Fungi;p__Ascomycota
OTU_2198	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_fam_Incertae_sedis;g__Robillarda
OTU_2214	k__Fungi
OTU_2224	k__Fungi;p__Ascomycota
OTU_2189	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella
OTU_2227	k__Fungi
OTU_2196	k__Fungi
OTU_2226	k__Fungi;p__Basidiomycota
OTU_2229	k__Fungi
OTU_2230	k__Fungi;p__Ascomycota
OTU_2236	k__Fungi
OTU_2235	k__Fungi
OTU_2233	k__Fungi
OTU_2237	k__Fungi;p__Ascomycota
OTU_2240	k__Fungi
OTU_2212	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales;f__Trichosphaeriaceae;g__Nigrospora
OTU_2242	k__Fungi;p__Ascomycota
OTU_2201	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_2206	k__Fungi
OTU_2234	k__Fungi
OTU_2248	k__Fungi
OTU_2238	k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Pucciniales;f__Melampsoraceae;g__Melampsora;s__Melampsora_occidentalis_SH196329.07FU
OTU_2251	k__Fungi
OTU_2247	k__Fungi
OTU_2249	k__Fungi
OTU_2254	k__Fungi
OTU_2255	k__Fungi;p__Ascomycota
OTU_2225	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Tetracladium
OTU_2257	k__Fungi
OTU_2259	k__Fungi;p__Ascomycota
OTU_2275	k__Fungi
OTU_2256	k__Fungi
OTU_2239	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiaceae;g__Bannoa;s__Bannoa_hahajimensis_SH219193.07FU
OTU_2250	k__Fungi
OTU_2252	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia;s__Periconia_macrospinosa_SH204052.07FU
OTU_2261	k__Fungi
OTU_2266	k__Fungi
OTU_2278	k__Fungi;p__Ascomycota;c__Xylonomycetes;o__Xylonomycetales;f__Xylonomycetales_fam_Incertae_sedis;g__Symbiotaphrina;s__Symbiotaphrina_buchneri_SH643910.07FU
OTU_2243	k__Fungi;p__Ascomycota
OTU_2245	k__Fungi
OTU_2273	k__Fungi
OTU_2241	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales
OTU_2276	k__Fungi;p__Ascomycota
OTU_2277	k__Fungi
OTU_2282	k__Fungi
OTU_2280	k__Fungi
OTU_2279	k__Fungi
OTU_2283	k__Fungi
OTU_2246	k__Fungi
OTU_2285	k__Fungi
OTU_2265	k__Fungi
OTU_2293	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__GS28
OTU_2267	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales
OTU_2289	k__Fungi
OTU_2299	k__Fungi;p__Ascomycota
OTU_2270	k__Fungi
OTU_2268	k__Fungi
OTU_2284	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales
OTU_2288	k__Fungi;p__Ascomycota
OTU_2271	k__Fungi;p__Ascomycota
OTU_2300	k__Fungi
OTU_2297	k__Fungi
OTU_2305	k__Fungi
OTU_2307	k__Fungi
OTU_2286	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Sarocladium;s__Sarocladium_oryzae_SH210222.07FU
OTU_2290	k__Fungi
OTU_2313	k__Fungi
OTU_2318	k__Fungi
OTU_2317	k__Fungi
OTU_2315	k__Fungi
