BacDMH6301	BacDMH6302	BacDMH6303	BacDMH6304	BacDMH6305	BacDMH6306	BacDMH6307	BacDMH6308	BacDMH6309	BacDMH6310	BacDMH6311	BacDMH6312	BacDMH6313	BacDMH6314	BacDMH6315	BacWMH6301	BacWMH6302	BacWMH6303	BacWMH6304	BacWMH6305	BacWMH6306	BacWMH6307	BacWMH6308	BacWMH6309	BacWMH6310	BacWMH6311	BacWMH6312	BacWMH6313	BacWMH6314	BacWMH6315	BacDMH63ZH01	BacDMH63ZH02	BacDMH63ZH03	BacDMH63ZH04	BacDMH63ZH05	BacDMH63ZH06	BacDMH63ZH07	BacDMH63ZH08	BacDMH63ZH09	BacDMH63ZH10	BacDMH63ZH11	BacDMH63ZH12	BacDMH63ZH13	BacDMH63ZH14	BacDMH63ZH15	BacWMH63ZH01	BacWMH63ZH02	BacWMH63ZH03	BacWMH63ZH04	BacWMH63ZH05	BacWMH63ZH06	BacWMH63ZH07	BacWMH63ZH08	BacWMH63ZH09	BacWMH63ZH10	BacWMH63ZH11	BacWMH63ZH12	BacWMH63ZH13	BacWMH63ZH14	BacWMH63ZH15	BacDWYJ01	BacDWYJ02	BacDWYJ03	BacDWYJ04	BacDWYJ05	BacDWYJ06	BacDWYJ07	BacDWYJ08	BacDWYJ09	BacDWYJ10	BacDWYJ11	BacDWYJ12	BacDWYJ13	BacDWYJ14	BacDWYJ15	BacWWYJ01	BacWWYJ02	BacWWYJ03	BacWWYJ04	BacWWYJ05	BacWWYJ06	BacWWYJ07	BacWWYJ08	BacWWYJ09	BacWWYJ10	BacWWYJ11	BacWWYJ12	BacWWYJ13	BacWWYJ14	BacWWYJ15	Bac2DWYJ01	Bac2DWYJ02	Bac2DWYJ03	Bac2DWYJ04	Bac2DWYJ05	Bac2DWYJ06	Bac2DWYJ07	Bac2DWYJ08	Bac2DWYJ09	Bac2DWYJ10	Bac2DWYJ11	Bac2DWYJ12	Bac2DWYJ13	Bac2DWYJ14	Bac2DWYJ15	Bac2WWYJ01	Bac2WWYJ02	Bac2WWYJ03	Bac2WWYJ04	Bac2WWYJ05	Bac2WWYJ06	Bac2WWYJ07	Bac2WWYJ08	Bac2WWYJ09	Bac2WWYJ10	Bac2WWYJ11	Bac2WWYJ12	Bac2WWYJ13	Bac2WWYJ14	Bac2WWYJ15	Bac2DMH6301	Bac2DMH6302	Bac2DMH6303	Bac2DMH6304	Bac2DMH6305	Bac2DMH6306	Bac2DMH6307	Bac2DMH6308	Bac2DMH6309	Bac2DMH6310	Bac2DMH6311	Bac2DMH6312	Bac2WMH6301	Bac2WMH6302	Bac2WMH6303	Bac2WMH6304	Bac2WMH6305	Bac2WMH6306	Bac2WMH6307	Bac2WMH6308	Bac2WMH6309	Bac2WMH6310	Bac2WMH6311	Bac2WMH6312	Bac2DMH63ZH01	Bac2DMH63ZH02	Bac2DMH63ZH03	Bac2DMH63ZH04	Bac2DMH63ZH05	Bac2DMH63ZH06	Bac2DMH63ZH07	Bac2DMH63ZH08	Bac2DMH63ZH09	Bac2DMH63ZH10	Bac2DMH63ZH11	Bac2DMH63ZH12	Bac2DMH63ZH13	Bac2DMH63ZH14	Bac2DMH63ZH15	Bac2WMH63ZH01	Bac2WMH63ZH02	Bac2WMH63ZH03	Bac2WMH63ZH04	Bac2WMH63ZH05	Bac2WMH63ZH06	Bac2WMH63ZH07	Bac2WMH63ZH08	Bac2WMH63ZH09	Bac2WMH63ZH10	Bac2WMH63ZH11	Bac2WMH63ZH12	Bac2WMH63ZH13	Bac2WMH63ZH14	Bac2WMH63ZH15	BacDBS01	BacDBS02	BacDBS03	BacDBS04	BacDBS05	BacDBS06	BacWBS01	BacWBS02	BacWBS03	BacWBS04	BacWBS05	BacWBS06	Bac2DBS01	Bac2DBS02	Bac2DBS03	Bac2DBS04	Bac2DBS05	Bac2DBS06	Bac2WBS01	Bac2WBS02	Bac2WBS03	Bac2WBS04	Bac2WBS05	Bac2WBS06
bacOTU_1565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	2	0	0	4	0	1	0	1	3	1	0	0	2	2	0	0	0	1	0	1	0	0	0	6	0	5	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	3	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	8	0	11	8	9	6	13	9	5	3	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacOTU_1567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	3	2	0	2	2	7	2	1	0	1	4	8	1	1	3	1	3	5	0	2	2	4	5	1	4	1	3	8	6	10	4	1	1	1	0	4	0	1	1	1	3	1	1	3	0	1	0	0	2	1	2	1	0	0	0	0	3	0	1	5	3	1	0	1	4	4	1	3	0	1	1	3	3	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	1	0	0	0
bacOTU_1569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	3	0	2	1	0	1	4	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	2	2	1	0	1	2	0	2	2	0	0	0	0	0	1	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	6	8	8	8	7	7	4	16	7	4	7
bacOTU_1570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	9	7	3	0	0	1	4	0	0	0	16	0	0	2	1	0	0	0	7	2	2	0	1	2	6	0	4	2	4	1	1	1	0	0	8	1	1	1	0	0	34	3	0	5	10	0	0	1	3	0	1	3	0	0	0	9	1	1	0	0	0	1	5	0	0	17	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
bacOTU_1572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	1	4	1	3	3	0	0	2	3	4	4	3	1	1	1	1	3	0	0	0	0	1	1	3	0	1	0	0	1	3	0	2	3	2	2	0	1	0	2	0	1	2	2	0	1	0	1	1	1	1	2	4	2	2	5	3	1	1	3	0	2	1	3	3	3	1	1	0	0	1	3	1	1	1	2	4	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	4	1	2	1	2	1
bacOTU_1573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	5	2	0	0	0	3	0	1	5	1	1	1	2	0	0	1	3	0	0	10	1	14	1	13	2	4	1	5	4	4	2	1	4	12	4	0	0	0	1	0	2	0	1	0	0	0	1	1	0	6	2	0	0	2	5	3	1	5	0	1	1	0	1	3	0	0	1	3	0	4	2	2	1	0	1	1	1	2	7	2	2	1	2	0	2	0	3	1	2	1	0	0	0	0	1	0	0	0	0	0	0	1	3	1	2	2	2	3	1	1	1	0	1
bacOTU_1575	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	5	12	9	11	10	11	14	14	14	12	0	0	0	0	0	0	0	0	0	0	0	0
bacOTU_1576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	2	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	29	0	15	4	3	0	0	1	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	4	7	1	5	2	0	21	0	2	11	15	0	0	1	0	0	0	0	0	0	1	0	0
bacOTU_1577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	3	1	3	2	0	3	0	5	2	0	0	0	10	13	4	0	3	2	6	3	0	2	0	0	4	1	7	0	0	1	0	1	5	1	6	1	0	2	5	1	4	3	1	0	2	0	2	2	4	4	0	0	1	1	0	2	2	6	1	0	0	0	0	0	2	4	3	22	2	2	4	4	0	2	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
bacOTU_1582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	5	1	4	0	2	1	2	3	3	0	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	5	2	1	1	3	0	1	0	2	0	4	7	1	0	0	0	0	0	14	0	0	4	1	0	1	0	0	6	6	2	0	1	10	0	1	0	3	2	11	1	0	9	1	0	1	0	0	0	0	0	0	0	0	2	1	3	3	1	3	0	2	3	2	1	0	1	1	0	0	0	1	0	0	1	0	3	1	0	0	1	0	2	1	0	2	5	8	3	0	2	1	1	2	0	5	5	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
bacOTU_1583	0	1	0	0	1	10	2	3	2	4	0	0	0	0	0	0	1	0	0	0	1	1	0	2	0	2	0	2	1	1	7	5	4	11	7	24	3	11	3	2	3	4	4	10	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
bacOTU_1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	19	12	1	0	0	0	1	24	0	0	1	1	1	1	4	2	0	0	0	1	0	1	1	1	1	1	3	0	0	1	0	0	0	0	1	0	1	0	0	0	0	3	1	0	0	1	1	0	1	2	8	3	0	1	1	5	0	1	0	0	0	0	1	1	0	6	0	4	1	0	1	1	1	0	2	0	0	1	0	0	2	1	1	3	4	3	2	0	2	0	0	0	0	0	0	0	0	0	1	0	2
bacOTU_1586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	9	5	5	4	1	1	1	0	4	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	6	0	6	2	2	1	8	1	1	0	7	12	7	1	0	0	0	0	0	0	0	1	2	0	1	1	1	2	3	13	10	38	9	30	19	10	14	4	4	4	0	9	5	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	4	0	10	0	1	3	2	1	3	2	0	0	0	0	0	0	0	0	0	0	1	0
bacOTU_1588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	2	0	1	2	3	4	0	2	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	2	0	1	0	0	1	2	0	3	0	1	0	1	1	1	0	3	0	1	0	0	0	4	2	1	2	0	0	0	2	1	0	0	2	0	0	2	1	1	0	0	0	1	0	2	0	0	0	2	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	2	5	4	3	6	1	4	15	10	5	4
bacOTU_1589	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	2	1	0	2	1	5	4	1	2	6	3	4	1	0	0	0	0	0	0	0	1	1	0	1	0	3	0	1	2	1	2	2	2	1	1	2	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	4	1	0	2	2	3	1	1	1	0	1	0	2	2	0	0	0	0	1	1	0	1	1	0	1	0	0	4	3	1	5	3	3	0	4	1	3	3	9	10	6	7	10	3	8	5	6	4	7	4	5
bacOTU_1590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	0	2	0	0	0	0	1	15	1	1	4	0	3	2	0	1	0	5	4	8	7	6	0	0	0	0	0	3	0	1	0	0	0	0	1	22	5	0	0	0	1	4	3	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	3	2	1	0	3	2	1	12	5	21	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	3	0	1	0
bacOTU_1591	0	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	6	2	0	2	2	2	2	6	3	1	0	0	2	2	0	0	0	0	1	0	2	0	1	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	2	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	2	1	1	0	1	3	0	1	1	0	0	0	0	2	0	0	3	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	2	5	1	7	1	0	2	1	2	1	2	0	0	0	0	0	5	0	4	0	1	0	2	1	1	0	3	3	3	4	5	1	4	0	2	0	8	0	2	1	0	2	23	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacOTU_1594	0	1	0	1	0	2	0	5	0	4	1	2	0	0	0	2	0	0	0	1	1	0	0	0	1	0	3	1	1	0	3	3	8	1	0	3	0	5	2	0	0	2	1	2	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	2	0	0	0	0	1	3	2	2	0	3	1	0	1	12	1	1	1	0	0	0	0	1	3	0	1	2	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	4	0	3	5	1	3	0	1	1	1	1	2	2	0	0	1	0	2	0	0	2	4	1	0	2	2
bacOTU_1596	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	2	6	3	1	0	1	1	2	0	1	2	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	5	2	2	4	8	0	0	2	2	0	0	2	0	0	0	0	0	0	1	1	1	2	3	0	3	4	2	1	3	0	1	1	0	1	0	1	2	1	3	0	0	1	1	3	3	3	1	3	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	4	0	0	0	0	0	1	3	1	0	2	1	2	2	2	1	1	2	2	2	3	2	1	0	4	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacOTU_1598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	5	1	52	2	3	2	7	0	0	1	35	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	1	1	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
bacOTU_1600	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	1	0	1	0	1	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	6	3	1	6	2	5	10	9	22	16	12	14	0	0	0	0	0	0	0	1	0	0	0	1
bacOTU_1601	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	2	2	3	1	1	3	4	3	1	1	1	2	2	4	2	2	3	2	1	0	0	0	1	1	0	0	0	1	2	3	0	1	3	2	1	2	4	3	2	0	0	0	0	0	0	0	1	3	1	0	0	0	1	2	3	0	0	1	0	0	0	2	1	4	3	0	0	2	1	0	0	0	0	5	1	2	1	0	2	5	3	3	2	1	0	0	0	0	2	0	0	0	0	0	0	0	9	11	4	3	1	9	3	2	5	4	7	3
bacOTU_1605	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	13	5	8	6	20	7	14	9	2	14	18	0	0	0	0	0	0	0	0	0	0	0	0
bacOTU_1606	0	1	3	1	1	3	4	3	2	0	2	1	1	0	1	0	0	1	1	0	2	1	2	7	0	1	0	0	2	2	0	4	3	1	1	1	0	1	7	2	1	0	1	3	4	0	1	0	0	1	0	2	0	1	0	1	2	0	0	3	0	0	0	0	0	0	0	1	1	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	3	0	1	0	3	1	1	1	0	2	2	0	0	4	3	0	0	0	9	1	1	0	1	2	1	1	0	2	1	0	0	8	2	1	5	4	0	4	20	1	0	1	3	4	0	1	1	2	0	2	3	0	3	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacOTU_1607	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	5	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	4	1	0	2	0	0	0	1	0	1	0	1	5	0	1	0	1	0	2	0	0	0	0	0	1	0	4	3	0	6	0	0	2	0	0	1	3	0	0	3	4	5	1	1	2	0	0	1	0	0	1	3	1	1	1	0	0	2	1	2	0	4	0	0	0	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	4	1	10	1	0	0	4	0	1	18	2	1	0	0	6	1	0	0	0	0	0	0	1	3	5	1	0	3	2	2	2	1	1	3	7
bacOTU_1608	0	1	1	0	0	3	3	6	1	6	19	1	2	0	4	0	0	2	1	1	1	2	0	2	3	1	2	1	1	3	2	7	2	2	3	1	2	2	11	4	4	1	5	3	4	0	3	2	1	2	1	0	1	1	1	0	1	0	2	0	0	0	1	1	0	0	1	2	0	4	1	1	4	1	1	8	2	1	1	4	0	3	5	1	1	2	5	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacOTU_1609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	2	0	1	0	0	1	0	0	0	2	1	2	0	1	0	0	1	1	0	2	1	0	0	0	1	2	0	0	0	1	1	0	0	0	0	2	1	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	3	1	4	0	0	2	1	1	3	0	0	1	2	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	6	1	9	0	10	5	5	3	6	5	1	6
bacOTU_1610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	2	1	0	0	1	0	4	0	2	2	0	0	0	1	0	3	1	4	1	5	0	2	0	2	0	0	1	1	3	1	2	3	1	0	0	1	1	1	4	4	2	0	2	0	1	2	0	0	0	0	0	2	4	0	3	2	3	0	0	1	1	3	1	0	4	1	2	1	1	0	2	0	1	2	1	1	0	2	0	0	0	0	0	7	4	6	4	3	4	3	6	5	5	5	3
bacOTU_1611	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	7	3	3	1	3	1	2	4	0	3	1	0	1	0	4	1	0	0	1	0	1	0	0	0	0	0	0	1	1	2	2	2	1	0	7	1	4	1	0	6	1	0	0	0	1	2	0	2	1	0	2	3	0	1	5	0	1	1	2	0	1	0	5	0	1	0	0	2	0	2	1	1	6	2	0	4	2	0	2	1	1	4	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
